column_name,column_type,business_category,test_function,test_type
acc_now_delinq,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
acc_open_past_24mths,int,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
addr_state,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
all_util,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
annual_inc,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
annual_inc_joint,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
application_type,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
avg_cur_bal,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
bc_open_to_buy,int,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
bc_util,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
chargeoff_within_12_mths,double,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
collection_recovery_fee,string,other,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'basic_validation']"
collections_12_mths_ex_med,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
delinq_2yrs,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
delinq_amnt,int,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
desc,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
dti,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
dti_joint,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
earliest_cr_line,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
emp_length,string,employment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'consistency']"
emp_title,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
funded_amnt,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
funded_amnt_inv,double,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
grade,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
home_ownership,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
il_util,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
initial_list_status,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
inq_fi,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
inq_last_12m,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
inq_last_6mths,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
installment,double,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
int_rate,double,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
issue_d,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
last_credit_pull_d,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
last_pymnt_amnt,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
last_pymnt_d,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
loan_amnt,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
loan_status,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
max_bal_bc,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mo_sin_old_il_acct,double,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mo_sin_old_rev_tl_op,int,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
mo_sin_rcnt_rev_tl_op,int,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mo_sin_rcnt_tl,int,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mort_acc,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
mths_since_last_delinq,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
mths_since_last_major_derog,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mths_since_last_record,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mths_since_rcnt_il,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mths_since_recent_bc,int,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mths_since_recent_bc_dlq,int,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
mths_since_recent_inq,int,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
mths_since_recent_revol_delinq,int,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
